URLs;Identifies;Mode_de_decouverte;Plateformes
http://fromyourfriendlyneighborhood.blogspot.com/;oui;methodologie;blogspot
http://fuegodelfuego.blogspot.com/;oui;methodologie;blogspot
http://fugitive.canalblog.com/profile/47827/index.html;oui;methodologie;canalblog
http://futilesetgraves.blogspot.com/;oui;methodologie;blogspot
http://gabymonnet-ferreol.over-blog.com/;oui;methodologie;over-blog
http://gaellejosse.kazeo.com/;oui;cartoweb_JP;
http://gazou.eklablog.com/;oui;methodologie;eklablog
http://gboppe.blogspot.com/;oui;autre;blogspot
http://ghregg.over-blog.com/;oui;repertoire_des_ecritures_num;over-blog
http://glennmor.canalblog.com/;oui;methodologie;canalblog
http://glossolalies.net/;oui;autre;
http://grazielladupuy.over-blog.com/;oui;methodologie;over-blog
http://gregoiredamon.hautetfort.com/;oui;methodologie;hautetfort
http://guyallixpoesie.canalblog.com/;oui;methodologie;canalblog
http://haidjin.over-blog.com/;oui;methodologie;over-blog
http://haiku.provence.pagesperso-orange.fr/som.html;oui;methodologie;pagesperso-orange
http://haiku-calligraphie.blogspot.com/;oui;methodologie;blogspot
http://haikuduvidetdelaplenitude.blogspot.com/;oui;methodologie;blogspot
http://haikuinfos.blogspot.com/;oui;methodologie;blogspot
http://haiku-nomade.eklablog.com/;oui;methodologie;eklablog
http://haikus-au-fil-des-jours.wifeo.com/;oui;methodologie;wifeo
http://haikus-au-fil-des-jours.wifeo.com/haikus-invites-10.php;oui;methodologie;wifeo
http://haiku-senryu.over-blog.net/;oui;methodologie;over-blog
http://haikuspirit.org/index.html;oui;methodologie;
http://haikuzen.eklablog.com/;oui;methodologie;eklablog
http://haishahaikudepat.canalblog.com/;oui;methodologie;canalblog
http://haishasbalades.blogspot.com/;oui;methodologie;blogspot
http://helene.dassavray.over-blog.com/;oui;methodologie;over-blog
http://helenedassavray.eklablog.com/;oui;methodologie;eklablog
http://heptanesfraxion.blogspot.com/;oui;methodologie;blogspot
http://heurebleuepoesie.canalblog.com/;oui;methodologie;canalblog
http://hochelagaimaginaire.ca/;oui;repertoire_des_ecritures_num;
http://hors-sol.net/revue/;oui;methodologie;
http://hors-sol.net/revue/05-instin-et-moi/;oui;methodologie;
http://hors-sol.net/revue/chronique/gi/;oui;methodologie;
http://houdaer.hautetfort.com/;oui;methodologie;hautetfort
http://hs-actu.blogspot.com/;oui;methodologie;blogspot
http://hublots.over-blog.com/;oui;methodologie;over-blog
http://hublots2.blogspot.com/;oui;methodologie;blogspot
http://humoetique.over-blog.com/;oui;methodologie;over-blog
http://ile-en-ile.org/hatubou/;oui;cartoweb_JP;
http://imagesetmots.over-blog.com/;oui;autre;over-blog
http://incertainregard.com/;oui;methodologie;
http://incertainregard.com/wp-content/uploads/2015/06/INCERTAINREGARDN6A.pdf;oui;methodologie;pdf
http://indigo.over-blog.com.over-blog.net/;oui;methodologie;over-blog
http://infinitesimal.eklablog.com/;oui;methodologie;eklablog
http://insula.over-blog.net/;oui;methodologie;over-blog
http://irregulier.blogspot.com/;oui;autre;blogspot
http://irregulier.blogspot.com/2016/12/une-invitee-dans-la-serie-des-mots.html;oui;cartoweb_JP;blogspot
http://isabonat-luciani.blogspot.com/;oui;methodologie;blogspot
http://itineraires.blog.24heures.ch/archive/2016/04/24/poemes-choisis-vahe-godel-861298.html;oui;cartoweb_JP;
http://ivanleterrible.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://i-voix.net/tag/poesie%20-%20j-y%20fick/;oui;methodologie;
http://i-voix.net/tag/poesie%20-%20s.%20bataillon/;oui;methodologie;
http://jacky-salmigondis.blogspot.com/;oui;autre;blogspot
http://jacques.ancet.pagesperso-orange.fr/jaode.htm;oui;methodologie;pagesperso-orange
http://jacqueslouvain.over-blog.org/;oui;methodologie;over-blog
http://jamais-de-la-vie.over-blog.com/;oui;methodologie;over-blog
http://jancet.blogg.org;oui;autre;blogg
http://jardin-des-mots.eklablog.com/;oui;methodologie;eklablog
http://jean.dif.free.fr/;oui;methodologie;
http://jeandler.blogspot.com/;oui;methodologie;blogspot
http://jeanfrancois61.blogspot.com/;oui;methodologie;blogspot
http://jean-m.platier.over-blog.com/tag/un%20poeme%20pour%20la%20nuit/;oui;autre;over-blog
http://jeanmarc.lebihan.free.fr/;oui;methodologie;
http://jeanpaul.legrand.free.fr/;oui;autre;
http://jeanphilippequerton.e-monsite.com;oui;autre;e-monsite
http://jeanpierreaudren.blogspot.com/;oui;methodologie;blogspot
http://jeanpierrevaissaire.over-blog.com/;oui;methodologie;over-blog
http://jecritures.blogspot.com/;oui;methodologie;blogspot
http://jesuisvenu.com/;oui;repertoire_des_ecritures_num;
http://jfduvalblog.blogspot.com/;oui;cartoweb_JP;blogspot
http://jill-bill.eklablog.com/;oui;methodologie;eklablog
http://jill-bill.over-blog.com/;oui;methodologie;over-blog
http://jjmarimbert.blogspot.com/;oui;methodologie;blogspot
http://joelle.gd.free.fr/index.html;oui;methodologie;
http://joubertjoseph.blogspot.com/;oui;cartoweb_JP;blogspot
http://jsene.net/spip;oui;methodologie;spip
http://juliedoucet.net/;oui;repertoire_des_ecritures_num;
http://juliette.mezenc.over-blog.com/;oui;methodologie;over-blog
http://k1-ka.blogspot.com/;oui;methodologie;blogspot
http://kangnialem.togocultures.com/;oui;cartoweb_JP;
http://keisakou.over-blog.com/;oui;methodologie;over-blog
http://kevin-broda-poete.over-blog.com/;oui;methodologie;over-blog
http://koroghli.free.fr/index.php?lng=fr&tconfig=0;oui;cartoweb_JP;
http://kukai.paris.free.fr/blog/index.php;oui;methodologie;
http://kukai.paris.free.fr/blog/index.php?2015/10;oui;methodologie;
http://kukai.paris.free.fr/blog/index.php?2017/09/10/282-compte-redu-du-129e-kukai-de-paris;oui;methodologie;
http://laabi.net/;oui;methodologie;
http://labedan.blogspot.com/;oui;methodologie;blogspot
http://labellejambe.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://laboucherielitteraire.eklablog.fr/;oui;methodologie;eklablog
http://lacollineauxciga.canalblog.com/;oui;methodologie;canalblog
http://lafreniere.over-blog.net/;oui;methodologie;over-blog
http://la-grammaire.over-blog.com/;oui;methodologie;over-blog
http://laguerretotale.blogspot.com/;oui;methodologie;blogspot
http://lalitoutsimplement.com/;oui;methodologie;
http://la-marche-aux-pages.blogspot.com/;oui;methodologie;blogspot
http://lambertschlechter.blogspot.com/2018/06/le-pire-cest-la-pisse-des-porcs.html;oui;cartoweb_JP;blogspot
http://lameduseetlerenard.blogspot.com/;oui;methodologie;blogspot
http://lapetiteblessure.over-blog.com/;oui;methodologie;over-blog
