Id,Label,timeset,authority,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Hub,modularity_class,clustering
Gui_Billy,Gui_Billy,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
decirconstance,decirconstance,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
Bruno_Borat67,Bruno_Borat67,,false,5,0,5,12,0,12,0,0,0,0,0,4,0.1
BrunFlorian3,BrunFlorian3,,false,1,0,1,7,0,7,0,0,0,0,0,4,0
noel_talipo,noel_talipo,,true,3,24,27,22,90,112,8,0.245683,0.277941,20586.731674,0,30,0.061594
CHTIMIDE1,CHTIMIDE1,,true,6,0,6,10,0,10,0,0,0,0,0,4,0.233333
ThomasSpok,ThomasSpok,,false,5,0,5,11,0,11,0,0,0,0,0,4,0.25
Darkpalmor,Darkpalmor,,true,4,19,23,33,37,70,9,0.214387,0.256721,29983.131566,0,12,0.016667
sweeteucalyptus,sweeteucalyptus,,false,5,0,5,12,0,12,0,0,0,0,0,4,0.35
lepolymorphe,lepolymorphe,,false,6,0,6,10,0,10,0,0,0,0,0,5,0.133333
luciol1,luciol1,,false,1,0,1,6,0,6,0,0,0,0,0,4,0
DParoles,DParoles,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
souriredefleur,souriredefleur,,false,6,0,6,16,0,16,0,0,0,0,0,4,0.333333
gerantupal,gerantupal,,false,1,0,1,5,0,5,0,0,0,0,0,4,0
hervesors,hervesors,,false,4,0,4,23,0,23,0,0,0,0,0,4,0.583333
Nuittoile3,Nuittoile3,,false,2,0,2,2,0,2,0,0,0,0,0,4,0.5
mot_apres_mot,mot_apres_mot,,false,1,0,1,3,0,3,0,0,0,0,0,4,0
PoesieActualite,PoesieActualite,,false,1,0,1,2,0,2,0,0,0,0,0,4,0
Heriss28,Heriss28,,false,2,0,2,4,0,4,0,0,0,0,0,4,0
NICOBILD,NICOBILD,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
BornrtE,BornrtE,,false,3,0,3,4,0,4,0,0,0,0,0,4,0
CudilleroPlume,CudilleroPlume,,true,3,21,24,21,49,70,8,0.21751,0.237712,1057.583333,0,30,0.056277
maimepasviril,maimepasviril,,false,2,0,2,6,0,6,0,0,0,0,0,4,1
BadoglioMy,BadoglioMy,,false,3,0,3,3,0,3,0,0,0,0,0,4,0.166667
Eptesicus7,Eptesicus7,,false,1,0,1,2,0,2,0,0,0,0,0,4,0
danylatour06,danylatour06,,true,6,23,29,15,34,49,8,0.225175,0.267922,18850.231818,0,4,0.027066
Caprice82965452,Caprice82965452,,false,3,0,3,9,0,9,0,0,0,0,0,14,0
PantunSayangAFP,PantunSayangAFP,,false,3,0,3,10,0,10,0,0,0,0,0,30,0.666667
bab69_bab,bab69_bab,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
chamouxlaurent,chamouxlaurent,,false,1,0,1,2,0,2,0,0,0,0,0,4,0
LdOptimistes,LdOptimistes,,false,2,0,2,7,0,7,0,0,0,0,0,4,0
LouMiss_LM,LouMiss_LM,,false,5,0,5,7,0,7,0,0,0,0,0,14,0.2
soeurs_revue,soeurs_revue,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
FrsMarcotte,FrsMarcotte,,false,6,0,6,8,0,8,0,0,0,0,0,4,0.033333
LePontCreatif,LePontCreatif,,true,2,36,38,3,87,90,3,0.463035,0.571429,1077.783333,0,3,0.03254
jipi_II,jipi_II,,false,4,0,4,12,0,12,0,0,0,0,0,4,0
dkp_copywriting,dkp_copywriting,,true,3,37,40,55,92,147,2,0.589109,0.651261,3459.566667,0,3,0.031294
editodor,editodor,,false,1,0,1,2,0,2,0,0,0,0,0,3,0
LaurentAnONyme,LaurentAnONyme,,false,2,0,2,2,0,2,0,0,0,0,0,3,1
ProfesseurBang,ProfesseurBang,,false,1,0,1,1,0,1,0,0,0,0,0,3,0
SugarMonkey0,SugarMonkey0,,false,1,0,1,1,0,1,0,0,0,0,0,3,0
jeansevillia,jeansevillia,,false,1,0,1,1,0,1,0,0,0,0,0,3,0
Clemelois,Clemelois,,false,1,0,1,2,0,2,0,0,0,0,0,3,0
mimignardise,mimignardise,,false,1,0,1,10,0,10,0,0,0,0,0,3,0
MateuilB,MateuilB,,false,2,0,2,2,0,2,0,0,0,0,0,1,0
olivier_garcia,olivier_garcia,,false,1,0,1,2,0,2,0,0,0,0,0,3,0
ThomasSotto,ThomasSotto,,false,1,0,1,1,0,1,0,0,0,0,0,3,0
brunophg,brunophg,,false,1,0,1,1,0,1,0,0,0,0,0,3,0
peaudlapin,peaudlapin,,false,2,0,2,2,0,2,0,0,0,0,0,1,0
Rod___Serling,Rod___Serling,,false,2,0,2,3,0,3,0,0,0,0,0,3,0
Palamede_Litote,Palamede_Litote,,false,1,0,1,1,0,1,0,0,0,0,0,3,0
FreshPrincessss,FreshPrincessss,,false,3,0,3,3,0,3,0,0,0,0,0,3,0.5
justdefunes,justdefunes,,false,1,0,1,1,0,1,0,0,0,0,0,3,0
_n0name_____,_n0name_____,,false,4,0,4,6,0,6,0,0,0,0,0,1,0
SandrineAime16,SandrineAime16,,false,1,0,1,1,0,1,0,0,0,0,0,3,0
jyleo_62,jyleo_62,,false,5,0,5,8,0,8,0,0,0,0,0,7,0.05
belganitel,belganitel,,false,3,0,3,3,0,3,0,0,0,0,0,3,0.333333
MicheleLaroque,MicheleLaroque,,false,1,0,1,2,0,2,0,0,0,0,0,3,0
DidierRoustan,DidierRoustan,,false,2,0,2,3,0,3,0,0,0,0,0,3,0
Thilium1,Thilium1,,false,8,0,8,27,0,27,0,0,0,0,0,4,0.214286
Coeur_Turquoise,Coeur_Turquoise,,true,3,28,31,17,122,139,10,0.176954,0.208468,11151.57619,0,18,0.04064
raphaeldetrie,raphaeldetrie,,false,2,0,2,7,0,7,0,0,0,0,0,4,1
assiselafileuse,assiselafileuse,,false,2,0,2,2,0,2,0,0,0,0,0,12,0
christi99830943,christi99830943,,false,5,0,5,11,0,11,0,0,0,0,0,4,0.1
raj65025523,raj65025523,,false,3,0,3,9,0,9,0,0,0,0,0,14,0.166667
colmontserrat,colmontserrat,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
ConteurDeNotes,ConteurDeNotes,,true,0,13,13,0,20,20,13,0.127166,0.15697,0,0,4,0.00641
_Mme_E,_Mme_E,,false,1,0,1,6,0,6,0,0,0,0,0,4,0
Verbum66,Verbum66,,false,6,0,6,7,0,7,0,0,0,0,0,4,0.066667
KindWildness,KindWildness,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
OBrother_op,OBrother_op,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
AlexdeReps,AlexdeReps,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
ClerkofOxford,ClerkofOxford,,false,1,0,1,1,0,1,0,0,0,0,0,4,0
