Source	Target	Weight
SabrinaLger1	anotherblack4	1
son_bilboquet	lilyinthewind10	1
son_bilboquet	ArtiShowDeNoel	4
son_bilboquet	SamaelOrmesson	2
son_bilboquet	BelPhilippe4	3
son_bilboquet	RitaRenoir	2
son_bilboquet	Marion_Rdt	1
son_bilboquet	lepolymorphe	1
son_bilboquet	FRoukine	1
son_bilboquet	Pangar_studio	1
son_bilboquet	MonLapinRoseX	1
son_bilboquet	MetalAssBender	1
son_bilboquet	Sophie28B	1
son_bilboquet	slythertinscorp	1
Faustruy	Eptesicus7	3
Faustruy	LouMiss_LM	1
Faustruy	maimepasviril	5
Faustruy	noel_talipo	8
Faustruy	BrunFlorian3	7
Faustruy	luciol1	2
Faustruy	souriredefleur	7
Faustruy	letittwitt	8
Faustruy	soeurs_revue	1
Faustruy	gerantupal	4
Faustruy	mot_apres_mot	1
Faustruy	chamouxlaurent	1
Faustruy	sweeteucalyptus	6
Faustruy	FrsMarcotte	1
Faustruy	Sylvain_Pierre	8
Faustruy	hervesors	6
Faustruy	Heriss28	3
Faustruy	BelPhilippe4	4
Faustruy	ThomasSpok	4
Faustruy	CHTIMIDE1	3
Faustruy	Caprice82965452	1
Faustruy	JPRhaiku	3
Faustruy	DeauBernar	1
Faustruy	Paulo18000	1
Faustruy	IArthurPym	2
Faustruy	Chouny111	1
Faustruy	HalleyAnthony_	2
Faustruy	buddhajim	1
Faustruy	PDansmabul	1
Faustruy	CudilleroPlume	4
Faustruy	yvouchou	1
Faustruy	QuatreSoupirs	1
Faustruy	Faustruy	1
Faustruy	K_Prisky	1
Faustruy	ngruszkiewicz	1
Faustruy	Sappho_littera	1
Faustruy	Bruno_Borat67	1
Faustruy	leumas_67	1
Faustruy	ArpinChristine1	2
Faustruy	franceinter	1
Faustruy	b_pascaline_	1
Faustruy	Gallimard	1
Faustruy	CalIigraphyArts	1
LePontCreatif	jipi_II	1
LePontCreatif	dkp_copywriting	22
LePontCreatif	ArtiShowDeNoel	1
LePontCreatif	editodor	2
LePontCreatif	LaurentAnONyme	1
LePontCreatif	Chouny111	7
LePontCreatif	ProfesseurBang	1
LePontCreatif	SugarMonkey0	1
LePontCreatif	an_conda	3
LePontCreatif	jeansevillia	1
LePontCreatif	LePontCreatif	2
LePontCreatif	Clemelois	2
LePontCreatif	mimignardise	10
LePontCreatif	MateuilB	1
LePontCreatif	olivier_garcia	2
LePontCreatif	ThomasSotto	1
LePontCreatif	bernardpivot1	1
LePontCreatif	brunophg	1
LePontCreatif	peaudlapin	1
LePontCreatif	DanniSr8	1
LePontCreatif	sudouest	1
LePontCreatif	Antho_Repartie	2
LePontCreatif	Rod___Serling	2
LePontCreatif	ClCharpentier	4
LePontCreatif	Palamede_Litote	1
LePontCreatif	SatournePasRond	1
LePontCreatif	Equipe1erDegre	1
LePontCreatif	FreshPrincessss	1
LePontCreatif	justdefunes	1
LePontCreatif	_n0name_____	1
LePontCreatif	coherence_e	2
LePontCreatif	SandrineAime16	1
LePontCreatif	jyleo_62	2
LePontCreatif	belganitel	1
LePontCreatif	MicheleLaroque	2
LePontCreatif	DidierRoustan	2
BelPhilippe4	BelPhilippe4	32
BelPhilippe4	JPRhaiku	15
BelPhilippe4	PrinceMots14	5
BelPhilippe4	raphaeldetrie	5
BelPhilippe4	hervesors	3
BelPhilippe4	arnanos	2
BelPhilippe4	Faustruy	2
BelPhilippe4	BorgHerve	11
BelPhilippe4	SamaelOrmesson	5
BelPhilippe4	lepolymorphe	3
BelPhilippe4	Rivitheadz	1
BelPhilippe4	Brindille_	1
BelPhilippe4	DariaGloucester	2
BelPhilippe4	son_bilboquet	1
BelPhilippe4	QuatreSoupirs	6
BelPhilippe4	ClaireCRaphael	1
BelPhilippe4	montalbanyi	1
BelPhilippe4	OGaignerot	1
